time_bin,syn_norm
2000,-0.45454545454545436
2001,-0.4405594405594404
2002,-0.4405594405594404
2003,-0.4405594405594404
2004,-0.4405594405594404
2005,-0.4405594405594404
2006,-0.4405594405594404
2007,-0.4405594405594404
2008,-0.45454545454545436
2009,-0.42657342657342645
2010,-0.4405594405594404
2011,-0.45454545454545436
2012,-0.46853146853146843
2013,-0.4405594405594404
2014,-0.4405594405594404
2015,-0.42657342657342645
2016,-0.4405594405594404
2017,-0.45454545454545436
2018,-0.4405594405594404
2019,-0.45454545454545436
2020,-0.42657342657342645
2021,-0.4405594405594404
2022,-0.45454545454545436
2023,-0.45454545454545436
2024,-0.45454545454545436
2025,-0.42657342657342645
2026,-0.4405594405594404
2027,-0.45454545454545436
2028,-0.45454545454545436
2029,-0.42657342657342645
2030,-0.45454545454545436
2031,-0.4405594405594404
2032,-0.45454545454545436
2033,-0.4405594405594404
2034,-0.4405594405594404
2035,-0.45454545454545436
2036,-0.42657342657342645
2037,-0.45454545454545436
2038,-0.42657342657342645
2039,-0.4405594405594404
2040,-0.4405594405594404
2041,-0.4405594405594404
2042,-0.4405594405594404
2043,-0.45454545454545436
2044,-0.4405594405594404
2045,-0.4405594405594404
2046,-0.4405594405594404
2047,-0.4405594405594404
2048,-0.45454545454545436
2049,-0.45454545454545436
2050,-0.4405594405594404
2051,-0.45454545454545436
2052,-0.4405594405594404
2053,-0.45454545454545436
2054,-0.4405594405594404
2055,-0.45454545454545436
2056,-0.4405594405594404
2057,-0.4405594405594404
2058,-0.45454545454545436
2059,-0.4405594405594404
2060,-0.45454545454545436
2061,-0.42657342657342645
2062,-0.4405594405594404
2063,-0.4405594405594404
2064,-0.4405594405594404
2065,-0.4405594405594404
2066,-0.45454545454545436
2067,-0.42657342657342645
2068,-0.42657342657342645
2069,-0.45454545454545436
2070,-0.45454545454545436
2071,-0.45454545454545436
2072,-0.45454545454545436
2073,-0.4405594405594404
2074,-0.4405594405594404
2075,-0.45454545454545436
2076,-0.4405594405594404
2077,-0.4405594405594404
2078,-0.4405594405594404
2079,-0.4405594405594404
2080,-0.46853146853146843
2081,-0.4405594405594404
2082,-0.45454545454545436
2083,-0.4405594405594404
2084,-0.46853146853146843
2085,-0.45454545454545436
2086,-0.4405594405594404
2087,-0.4405594405594404
2088,-0.4405594405594404
2089,-0.45454545454545436
2090,-0.45454545454545436
2091,-0.4405594405594404
2092,-0.42657342657342645
2093,-0.4405594405594404
2094,-0.4405594405594404
2095,-0.45454545454545436
2096,-0.45454545454545436
2097,-0.45454545454545436
2098,-0.4405594405594404
2099,-0.4405594405594404
2100,-0.46853146853146843
2101,-0.46853146853146843
2102,-0.4405594405594404
2103,-0.4405594405594404
2104,-0.45454545454545436
2105,-0.4405594405594404
2106,-0.45454545454545436
2107,-0.4405594405594404
2108,-0.45454545454545436
2109,-0.4405594405594404
2110,-0.42657342657342645
2111,-0.46853146853146843
2112,-0.42657342657342645
2113,-0.46853146853146843
2114,-0.45454545454545436
2115,-0.45454545454545436
2116,-0.4405594405594404
2117,-0.42657342657342645
2118,-0.45454545454545436
2119,-0.4405594405594404
2120,-0.42657342657342645
2121,-0.4405594405594404
2122,-0.45454545454545436
2123,-0.45454545454545436
2124,-0.45454545454545436
2125,-0.45454545454545436
2126,-0.46853146853146843
2127,-0.4405594405594404
2128,-0.4405594405594404
2129,-0.4405594405594404
2130,-0.4405594405594404
2131,-0.46853146853146843
2132,-0.4405594405594404
2133,-0.4405594405594404
2134,-0.45454545454545436
2135,-0.42657342657342645
2136,-0.4405594405594404
2137,-0.4405594405594404
2138,-0.46853146853146843
2139,-0.4405594405594404
2140,-0.45454545454545436
2141,-0.45454545454545436
2142,-0.46853146853146843
2143,-0.4405594405594404
2144,-0.45454545454545436
2145,-0.4405594405594404
2146,-0.45454545454545436
2147,-0.4405594405594404
2148,-0.4405594405594404
2149,-0.4405594405594404
2150,-0.45454545454545436
2151,-0.4405594405594404
2152,-0.4405594405594404
2153,-0.45454545454545436
2154,-0.5104895104895104
2155,-0.4405594405594404
2156,-0.45454545454545436
2157,-0.4405594405594404
2158,-0.45454545454545436
2159,-0.4405594405594404
2160,-0.4405594405594404
2161,-0.45454545454545436
2162,-0.45454545454545436
2163,-0.4405594405594404
2164,-0.4405594405594404
2165,-0.4405594405594404
2166,-0.45454545454545436
2167,-0.4405594405594404
2168,-0.45454545454545436
2169,-0.4405594405594404
2170,-0.45454545454545436
2171,-0.45454545454545436
2172,-0.4405594405594404
2173,-0.42657342657342645
2174,-0.46853146853146843
2175,-0.4405594405594404
2176,-0.45454545454545436
2177,-0.45454545454545436
2178,-0.45454545454545436
2179,-0.4405594405594404
2180,-0.46853146853146843
2181,-0.4405594405594404
2182,-0.4405594405594404
2183,-0.4405594405594404
2184,-0.45454545454545436
2185,-0.45454545454545436
2186,-0.42657342657342645
2187,-0.45454545454545436
2188,-0.45454545454545436
2189,-0.46853146853146843
2190,-0.4405594405594404
2191,-0.42657342657342645
2192,-0.4405594405594404
2193,-0.45454545454545436
2194,-0.4405594405594404
2195,-0.4405594405594404
2196,-0.42657342657342645
2197,-0.4405594405594404
2198,-0.45454545454545436
2199,-0.45454545454545436
2200,-0.4405594405594404
2201,-0.4405594405594404
2202,-0.4405594405594404
2203,-0.45454545454545436
2204,-0.4405594405594404
2205,-0.45454545454545436
2206,-0.42657342657342645
2207,-0.4405594405594404
2208,-0.4405594405594404
2209,-0.4405594405594404
2210,-0.42657342657342645
2211,-0.46853146853146843
2212,-0.4405594405594404
2213,-0.4405594405594404
2214,-0.42657342657342645
2215,-0.45454545454545436
