time_bin,syn_norm
0,0.93006993006993
1,0.9580419580419584
2,0.9720279720279721
3,0.9580419580419584
4,0.9580419580419584
5,0.9580419580419584
6,0.9580419580419584
7,0.9720279720279721
8,0.9720279720279721
9,0.9720279720279721
10,0.9580419580419584
11,0.9580419580419584
12,0.9580419580419584
13,0.9720279720279721
14,0.9580419580419584
15,0.9580419580419584
16,0.9720279720279721
17,0.9580419580419584
18,0.9580419580419584
19,0.9580419580419584
20,0.9720279720279721
21,0.9720279720279721
22,0.9580419580419584
23,0.9580419580419584
24,0.9720279720279721
25,0.9720279720279721
26,0.9580419580419584
27,0.9720279720279721
28,0.9720279720279721
29,0.9580419580419584
30,0.9720279720279721
31,0.9720279720279721
32,0.9720279720279721
33,0.9720279720279721
34,0.9580419580419584
35,0.9720279720279721
36,0.9580419580419584
37,0.9580419580419584
38,0.9720279720279721
39,0.9580419580419584
40,0.9720279720279721
41,0.9440559440559442
42,0.9720279720279721
43,0.9440559440559442
44,0.9580419580419584
45,0.9720279720279721
46,0.9580419580419584
47,0.9580419580419584
48,0.9720279720279721
49,0.9720279720279721
50,0.9580419580419584
51,0.9580419580419584
52,0.9720279720279721
53,0.9720279720279721
54,0.9720279720279721
55,0.9580419580419584
56,0.9580419580419584
57,0.9720279720279721
58,0.9580419580419584
59,0.9720279720279721
60,0.9580419580419584
61,0.9580419580419584
62,0.9580419580419584
63,0.9580419580419584
64,0.9580419580419584
65,0.9720279720279721
66,0.9580419580419584
67,0.9580419580419584
68,0.9720279720279721
69,0.9440559440559442
70,0.9580419580419584
71,0.9580419580419584
72,0.9580419580419584
73,0.9720279720279721
74,0.9580419580419584
75,0.9580419580419584
76,0.9580419580419584
77,0.9580419580419584
78,0.9720279720279721
79,0.9580419580419584
80,0.9580419580419584
81,0.9580419580419584
82,0.9720279720279721
83,0.8041958041958042
84,0.6083916083916086
85,0.9440559440559442
86,0.9720279720279721
87,0.9580419580419584
88,0.93006993006993
89,0.9580419580419584
90,0.9720279720279721
91,0.9580419580419584
92,0.9580419580419584
93,0.9720279720279721
94,0.9440559440559442
95,0.9860139860139863
96,0.9580419580419584
97,0.9580419580419584
98,0.9580419580419584
99,0.9580419580419584
